name,builtin_url,sectors,location,employees,description,hub
Templafy,https://builtin.com/company/templafy,Cloud • Enterprise Web • Software,5 Offices,170 Employees,"Templafy is the leading AI-powered document generation platform for companies with a need to create accurate, compliant, and on-brand documents with maximum efficiency and ease. Accessible directly from applications like Microsoft Office, Google Workspace and Salesforce, Templafy is trusted by more than 800 industry leading enterprises, including KPMG, IKEA, and BDO. Our platform simplifies document workflows and eliminates the complexity...",new-york-city
Maybern,https://builtin.com/company/maybern-0,Fintech,"New York, New York, USA",68 Employees,"Technology has revolutionized the operations of public markets. The improvement in capabilities has raised investor expectations and regulatory demands, but the private markets can’t keep up. Global private markets manage $15 trillion dollars. Despite its importance in the global economy, investment managers still run their operations on a patchwork of legacy software providers and manual spreadsheets, creating massive inefficiencies and...",new-york-city
Augury,https://builtin.com/company/augury,Artificial Intelligence • Hardware • Internet of Things • Machine Learning • Software • Manufacturing,3 Offices,203 Employees,"Our mission is to provide manufacturers and other industrial sectors with insights into the health of machines, processes, and operations to transform how people work and what they can create. A pioneer in Machine Health and Process Health solutions, we use purpose-built AI, trained by industry experts and the world’s largest data library, to help customers eliminate production downtime, improve...",new-york-city
Credal.ai,https://builtin.com/company/credalai,Artificial Intelligence • Machine Learning • Productivity • Security • Software,"New York, New York, USA",,"We’ve built the industry’s highest ceiling and most secure Action & Agent building platform for sticky, custom AI workflows. Use cases span countless domains, including: KYC, anti-money laundering, healthcare regulation, climate standards setting, cybersecurity, sales, people, IT, and customer support.",new-york-city
Rubrik,https://builtin.com/company/rubrik-inc,Artificial Intelligence • Big Data • Cloud • Information Technology • Software • Cybersecurity • Data Privacy,24 Offices,"3,000 Employees","Rubrik (NYSE: RBRK), the Security and AI Operations Company, leads at the intersection of data protection, cyber resilience, and enterprise AI acceleration. Rubrik Security Cloud delivers complete cyber resilience by securing, monitoring, and recovering data, identities, and workloads across clouds. Rubrik Agent Cloud accelerates trusted AI agent deployments at scale by monitoring and auditing agentic actions, enforcing real-time guardrails, fine-tuning...",new-york-city
Trail of Bits,https://builtin.com/company/trail-bits,Artificial Intelligence • Blockchain • Professional Services • Security • Consulting • Cybersecurity • Defense,"Fully Remote, USA",125 Employees,"Deepening the Science of Security Founded in 2012 by 3 expert hackers with no investment capital, Trail of Bits is the premier place for security experts to boldly advance security and address technology’s newest and most challenging risks. It has helped secure some of the world's most targeted organizations and devices. Our combination of novel research with practical solutions reduces the...",new-york-city
TransUnion,https://builtin.com/company/transunion,Big Data • Fintech • Information Technology • Business Intelligence • Financial Services • Cybersecurity • Big Data Analytics,36 Offices,"13,000 Employees",TransUnion is a global information and insights company that makes trust possible by ensuring that each consumer is reliably and safely represented in the marketplace. We do this by having an accurate and comprehensive picture of each person. This picture is grounded in our legacy as a credit reporting agency which enables us to tap into both credit and public record...,new-york-city
Narmi,https://builtin.com/company/narmi,Enterprise Web • Fintech • Payments • Software • Financial Services,"New York, New York, USA",140 Employees,"By providing one unified platform where FI's can manage the end-to-end customer journey, Narmi securely drives primacy, customer growth, and efficiency. We unlock the very latest solutions in account opening and digital banking to allow our customers to reach their goals. Since our founding, Narmi has moved billions of dollars and opened hundreds of thousands of accounts for banks and...",new-york-city
Sage,https://builtin.com/company/sage,Hardware • Healthtech • Software • Analytics,"New York, New York, USA",95 Employees,"Sage is an innovative, one-of-a-kind operations management system that transforms how senior living communities deliver care. Unlike traditional nurse call systems, Sage offers a comprehensive platform that provides real-time insights into care delivery and operational efficiency. Our technology empowers caregivers with the tools and data they need to provide personalized care while boosting productivity. By leveraging real-time staffing data and...",new-york-city
Forge,https://builtin.com/company/forge,Fintech • Financial Services,3 Offices,320 Employees,"At Forge (NYSE: FRGE), we know our team is our greatest asset. As technology innovators in the private market, our vision is to deliver a richer future for everyone. We live that vision through our values of being bold, humble and accountable. We experience the value that our vision brings to the world every day, helping the teams behind the...",new-york-city
MetLife,https://builtin.com/company/metlife,Fintech • Information Technology • Insurance • Financial Services • Big Data Analytics,10 Offices,"43,000 Employees","We're honored to be No. 10 on Great Place to Work's World's Best Workplaces and recognized in the Fortune 100 Best Companies to Work For® list in 2025. At MetLife, we're leading the global transformation of an industry we’ve defined for over 157 years. At MetLife, every innovation and line of code is a lifeline for our customers and their...",new-york-city
Yext,https://builtin.com/company/yext,Artificial Intelligence • Information Technology • Internet of Things • Marketing Tech • Social Media • Software • SEO,10 Offices,"1,150 Employees","Yext (NYSE: YEXT) is the leading digital presence platform for multi-location brands, with thousands of customers worldwide. With one central platform, brands can seamlessly deliver consistent, accurate, and engaging experiences and meaningfully connect with customers anywhere in the digital world. Yext’s AI and machine learning technology powers the knowledge behind every customer engagement, automates workflows at scale, and delivers actionable...",new-york-city
Fora,https://builtin.com/company/fora-travel,Agency • On-Demand • Professional Services • Sales • Software • Travel • Hospitality,"New York, New York, USA",170 Employees,"Fora is the modern travel agency, redefining what it means to be a travel advisor in today’s world. We’re a next-generation platform that provides a comprehensive, business-in-a-box solution-combining cutting-edge technology, personalized training, a vibrant community, and exclusive industry partnerships-all designed to empower anyone with a passion for travel to turn that passion into a thriving business. Whether you're a travel...",new-york-city
New York Life Insurance Company,https://builtin.com/company/new-york-life-insurance-company,Artificial Intelligence • Cloud • Fintech • Information Technology • Insurance • Financial Services • Big Data Analytics,5 Offices,"12,000 Employees","At New York Life, our 180-year legacy of integrity, mutuality, and financial strength fuels a future defined by bold transformation. As the largest mutual life insurance company in the U.S., we operate on behalf of our policy owners-not shareholders. That structure allows us to take a long-term view, investing in people, purpose, and innovation that endures. Guided by a clear enterprise vision...",new-york-city
PwC,https://builtin.com/company/pwc,Artificial Intelligence • Professional Services • Business Intelligence • Consulting • Cybersecurity • Generative AI,74 Offices,"370,000 Employees","Build what’s next - with tech that matters PwC provides professional services across Audit and Assurance, Advisory and Tax - powered by a global network of over 370,000 people in 149 countries. You may know us for our business expertise, but technology is core to how we help clients move faster, build trust and deliver meaningful outcomes. As a technologist, you’ll work...",new-york-city
"Fluent, Inc.",https://builtin.com/company/fluent,AdTech • Digital Media • eCommerce • Marketing Tech,3 Offices,200 Employees,"Fluent, Inc. (NASDAQ: FLNT) is a commerce media solutions provider connecting top-tier brands with highly engaged consumers. Leveraging diverse ad inventory, robust first-party data, and proprietary machine learning, Fluent unlocks additional revenue streams for partners and empowers advertisers to acquire their most valuable customers at scale. Founded in 2010, Fluent uses its deep expertise in performance marketing to drive monetization...",new-york-city
Liftoff,https://builtin.com/company/liftoff,AdTech • Artificial Intelligence • Big Data • Machine Learning • Marketing Tech • Mobile • Software,10 Offices,645 Employees,"Liftoff is a leading AI-powered performance marketing platform for the mobile app economy. Our end-to-end technology stack helps app marketers acquire and retain high-value users, while enabling publishers to maximize revenue across programmatic and direct demand. Liftoff’s solutions, including Accelerate, Direct, Monetize, Intelligence, and Vungle Exchange, support over 6,600 mobile businesses across 74 countries in sectors such as gaming, social, finance,...",new-york-city
Whatnot,https://builtin.com/company/whatnot,eCommerce • Mobile,8 Offices,750 Employees,We bring people together around the things they love and turn their passions into their livelihood.,new-york-city
Hinge,https://builtin.com/company/hinge,Artificial Intelligence • Machine Learning • Mobile • Other • Social Impact • Software • App development,"New York, New York, USA",305 Employees,"In today’s digital world, singles are so focused on sending likes and looking through profiles that they’re not actually building meaningful connections and going on dates. Hinge is on a mission to change that by designing the most effective app experience. We want to create a less lonely world by inspiring intimate, in-person connections. Relationships are at the core of...",new-york-city
Order.co,https://builtin.com/company/orderco,eCommerce • Fintech • Payments • Software,"New York, New York, USA",118 Employees,"Our strength has always been our unique edge: transforming how businesses connect with vendors through our marketplace. We're not just improving workflows - we're redefining how procurement, operations, accounting, and payments come together to drive efficiency and innovation. Every step - requisition, approval, payment, and reconciliation - is curated and automated to make purchasing across all your vendors, locations and...",new-york-city
Vercel,https://builtin.com/company/vercel,Artificial Intelligence • Cloud • Software,3 Offices,,"From solo developers building their first app to the teams behind ChatGPT, Shopify, and PayPal, if it needs to be fast, reliable, and beautifully built, it runs on Vercel. Our platform powers millions of deployments a day. We started with a simple belief: the web should be fast for everyone, everywhere. That belief became Next.js. Then a platform. Then the...",new-york-city
Luxury Presence,https://builtin.com/company/luxury-presence,Marketing Tech • Real Estate • Software • PropTech • SEO,5 Offices,500 Employees,"Luxury Presence is the leading growth platform for high-performing real estate agents, teams, and brokerages. The company provides agent-branded websites, advanced marketing tools, and Presence® CRM, the AI relationship engine that transforms an agent’s sphere into a proactive source of new business. More than 17,000 real estate businesses rely on Luxury Presence to elevate their brand, attract clients, and grow...",new-york-city
SoFi,https://builtin.com/company/sofi,Fintech • Mobile • Software • Financial Services,7 Offices,"4,500 Employees","SoFi wasn’t built to be a bank. Or a technology company. We were built for one mission: help people achieve financial independence so they can realize their ambitions. Redefining an entire industry isn’t easy work-and it’s not for the faint of heart. It takes a certain kind of team. People with diverse perspectives and expertise, united by a common sense of...",new-york-city
Playground (tryplayground.com),https://builtin.com/company/playground-tryplaygroundcom,Kids + Family • Payments • Social Impact • Software,2 Offices,60 Employees,"For too long, child care programs have been stuck with clunky tools and manual processes, falling behind while other industries get all the high-tech toys. Playground is flipping the script. Playground is a proven platform for child care providers to streamline their operations, reclaim their time, and get back to the joy of teaching and caring. Our all-in-one child care management...",new-york-city
Trustpilot,https://builtin.com/company/trustpilot,Consumer Web • Information Technology • Sales • Software,8 Offices,950 Employees,"Hi. We’re Trustpilot. Trustpilot began in 2007 with a simple yet powerful idea that is more relevant today than ever - to be the universal symbol of trust, bringing consumers and businesses together through reviews. Trustpilot is open, independent, and impartial - we help consumers make the right choices and businesses to build trust, grow and improve. Today, we have more than 300...",new-york-city
Flume Health,https://builtin.com/company/flume-health,Healthtech • Insurance • Software,2 Offices,22 Employees,"Flume Health is a software company that connects the fragmented healthcare data ecosystem for more efficient health plan administration. As a single, cloud-native integration platform, Flume’s Relay platform allows companies to easily connect various systems and vendors for efficient data exchange that’s increasingly demanded of the modern health plan. Payers, third-party administrators, prescription benefits managers, and health solutions are provided...",new-york-city
Oso,https://builtin.com/company/oso,Security • Software • Infrastructure as a Service (IaaS),"New York, New York, USA",36 Employees,"Authorization controls who has access to what in an app. It’s a problem as old as computers, and it turns out, it’s a hard problem. At Oso, we help our customers build features to meet enterprise requirements, like fine-grained access controls or custom roles and permissions. We also provide the tools needed to build the next generation of secure, permissions...",new-york-city
Opto Investments,https://builtin.com/company/opto-investments,Fintech • Software • Financial Services,2 Offices,60 Employees,"Opto Investments (“Opto”) are engineering the future of private markets, offering the solution for wealth managers to efficiently build and manage differentiated private investment programs. Opto’s end-to-end technology solution dramatically streamlines building, fundraising for, and managing a bespoke private markets fund or program, allowing independent investment advisors, family offices, and private banks to scale their offerings without scaling their team. Founded by...",new-york-city
firsthand Health Inc,https://builtin.com/company/firsthand-health-inc-4,Healthtech • Information Technology • Social Impact • Software • App development,"New York, New York, USA",380 Employees,"firsthand is transforming the way individuals living with Serious Mental Illness (SMI) receive care. We are focused on delivering real outcomes for a cohort that has historically been underserved, stigmatized, and deprioritized. By building a service focused on whole-person care, firsthand aims to find, establish a trusting relationship with, and support quality care for individuals living with complex experiences of...",new-york-city
RTB House,https://builtin.com/company/rtb-house,AdTech • Artificial Intelligence • Big Data • Digital Media • eCommerce • Machine Learning • Marketing Tech,"Fully Remote, USA","1,300 Employees","RTB House is a global technology company specializing in innovative marketing solutions powered by deep learning algorithms. Founded in 2012, the company has rapidly grown into a leader in the field of personalized advertising, offering a full-funnel marketing platform that drives real results. Our proprietary technology enables brands to deliver highly relevant and precisely targeted ads to consumers, enhancing engagement...",new-york-city
Pontera,https://builtin.com/company/pontera,Fintech • Software • Financial Services,3 Offices,250 Employees,"Pontera is a fintech company on a mission to help millions of Americans retire better by enabling financial advisors to manage, balance, and report on clients' assets in 401(k)s, 403(b)s, and other workplace-sponsored accounts. Our secure, purpose-built platform, seamlessly integrated with advisors' portfolio management tools, is designed to work across many account types and help advisors improve financial outcomes through...",new-york-city
Regal,https://builtin.com/company/regalio,Artificial Intelligence • Marketing Tech • Software,2 Offices,80 Employees,"Founded in 2020, Regal is the AI Agent Platform. Regal gives every company the tools to transform customer communications with delightful AI Agents that are connected to your data, easy to customize and monitor, always-available, and ready to take action. Our Values Customers are Royalty We serve our customers above all else. If we don’t earn their love, someone else will. Fast Execution Wins We...",new-york-city
Kepler,https://builtin.com/company/kepler-ai,Fintech • Software,"New York, New York, USA",6 Employees,"AI is great at understanding what you're asking. It's terrible at giving you answers you can trust. Kepler built a platform that separates what AI does well from what code does well where AI handles the conversation, code handles the truth. The result is the first AI system that can show its work. Kepler automatically ingests scattered data, structures it into...",new-york-city
Genius Sports,https://builtin.com/company/genius-sports,AdTech • Artificial Intelligence • Machine Learning • Marketing Tech • Software • Sports • Big Data Analytics,13 Offices,"1,800 Employees","Genius Sports is the layer between what happens on the field and how the world engages with it. Our solutions across the global sports ecosystem are underpinned by our next generation big data and artificial intelligence platform, GeniusIQ. By ingesting and computing multiple real-time data feeds, GeniusIQ powers a wide range of functions and applications across sports performance and officiation, fan engagement,...",new-york-city
BlackLine,https://builtin.com/company/blackline,Cloud • Fintech • Information Technology • Machine Learning • Software • App development • Generative AI,17 Offices,"1,810 Employees","BlackLine gives you the innovation of AI-powered software solutions you need to optimize workflows, reduce risk, and prepare for tomorrow’s strategic F&A challenges. BlackLine is the leader in the cloud financial close market and the first and only holistic solution to address intercompany operations. Companies can execute and manage financial close, intercompany, and invoice-to-cash processes with end-to-end transparency and intelligent...",new-york-city
Teachable,https://builtin.com/company/teachable,eCommerce • Edtech,2 Offices,160 Employees,"Teachable was founded in 2014 to provide a solution that was missing for Creators in what was the early online courses space. Teachable is where seasoned creators around the world build their legacy through education. On Teachable, it’s easy to create high-quality courses, coaching, memberships, and digital downloads that help creators scale their businesses-and truly impact people's lives. With tools designed...",new-york-city
Chime,https://builtin.com/company/chime,Fintech • Machine Learning • Mobile • Security • Software,3 Offices,"1,500 Employees","Chime was created because we believe everyone can Unlock Financial Progress, and we want to develop solutions and services to empower people to succeed. The premise upon which we started Chime is simple: basic banking services should be helpful, transparent, and easy. Our suite of tools and platforms give our members the ability to have more control over their money...",new-york-city
Spot & Tango,https://builtin.com/company/spot-tango,eCommerce • Food • Pet • Manufacturing,"New York, New York, USA",150 Employees,"Here at Spot & Tango, we are on a mission to make your pet healthier and happier, simplifying your role as a pet parent along the way. Put simply: we exist to create more happy days with your dog. Since 2018, we’ve been cooking up fresh, whole ingredient meals personalized for dogs at prices humans can afford. We even created an...",new-york-city
Radar,https://builtin.com/company/radar,Mobile • Software,"New York, New York, USA",64 Employees,"Radar is the world's first Location OS: next-gen geofencing and maps infrastructure for developers and AI-enabled solutions for marketing, fraud, and operations teams, all in a single platform. Hundreds of enterprises, including DICK'S Sporting Goods, T-Mobile, Inspire Brands, and bet365, use Radar to engage their customers, protect their business, and optimize their operations across hundreds of millions of devices worldwide. Founded...",new-york-city
Superhuman,https://builtin.com/company/superhuman-1,Artificial Intelligence • Information Technology • Machine Learning • Natural Language Processing • Productivity • Software • Generative AI,7 Offices,"1,500 Employees","Grammarly is now part of Superhuman, the AI productivity platform on a mission to unlock the superhuman potential in everyone. The Superhuman suite of apps and agents brings AI wherever people work, integrating with over 1 million applications and websites. The company’s products include Grammarly’s writing assistance, Coda’s collaborative workspaces, Mail’s inbox management, and Go, the proactive AI assistant that...",new-york-city
Circle,https://builtin.com/company/circle,Blockchain • Fintech • Payments • Financial Services • Cryptocurrency • Web3,3 Offices,"1,050 Employees","Circle (NYSE: CRCL) is a global, internet financial platform company powering the foundation of an open, borderless, and programmable economy. Circle connects financial institutions, enterprises, and developers to the next generation of the internet financial system through digital assets such as USDC, Circle Payments Network for global money movement, and Arc, an enterprise-grade blockchain designed to become the Economic OS...",new-york-city
Belvedere Trading,https://builtin.com/company/belvedere-trading,Fintech • Information Technology • Other • Software • Financial Services • Quantitative Trading,4 Offices,265 Employees,"In March of 2002, Belvedere Trading emerged as Chicago’s newest market maker, soon to join the ranks of the Windy City’s elite proprietary trading firms. Armed with printouts of Excel workbooks and a team of eager minds, Belvedere established their place in the SPX pit on the floor of the Chicago Board Options Exchange. From the beginning, we have iteratively...",new-york-city
Notion,https://builtin.com/company/notion,Artificial Intelligence • Productivity • Software,6 Offices,"1,000 Employees","Notion blends your everyday work tools into one. Product roadmap? Company wiki? Meeting notes? With Notion, they're all in one place, and totally customizable to meet the needs of any workflow. It's the all-in-one workspace for you, your team, and your whole company. Mission: We humans are toolmakers by nature, but most of us can't build or modify the software we...",new-york-city
Hex,https://builtin.com/company/hex,Artificial Intelligence • Big Data • Software • Analytics • Business Intelligence • Big Data Analytics,2 Offices,160 Employees,"Hex is changing the way people work with data. Our platform makes analytics workflows more powerful, collaborative, and shareable. Hex solves key pain points with today's data and analytics tooling, and is loved by thousands of users all over the world for the beautiful UI, new superpowers, and boundless flexibility. We are a tight-knit crew of engineers, designers, and data aficionados....",new-york-city
Tempus AI,https://builtin.com/company/tempus,Artificial Intelligence • Big Data • Healthtech • Machine Learning • Analytics • Biotech • Generative AI,11 Offices,"3,775 Employees","We bring together one of the world’s largest libraries of multimodal clinical and molecular data with a robust suite of AI tools to help physicians personalize care in real time, connect patients with therapies and clinical trials, and enable partners to accelerate discovery and development of new treatments. With ~8 million de-identified research records and 350+ petabytes of data, Tempus partners...",new-york-city
Bilt,https://builtin.com/company/bilt-rewards,Fintech • Mobile • Real Estate • Financial Services • PropTech,"New York, New York, USA",200 Employees,"Bilt Rewards is the first loyalty program that rewards members on rent and in their neighborhood, no matter where they live. Bilt Members can earn points and access exclusive benefits on rent payments, condo & co-op fees, and around their neighborhood at local restaurants, fitness studios, rideshare, pharmacy, and more. Ranked the highest-value point currency by top publications, Bilt Points...",new-york-city
PatientPoint,https://builtin.com/company/patientpoint,AdTech • Digital Media • Healthtech • Marketing Tech • Sales • Analytics • Pharmaceutical,5 Offices,660 Employees,"At PatientPoint, we're transforming every doctor-patient interaction with cutting-edge, technology-driven solutions designed to improve health outcomes and quality of life. By delivering impactful, digital, in-office patient education at no cost to physicians across the country, we empower healthcare professionals to connect more meaningfully with their patients. Through partnerships with trusted healthcare brands like Pfizer, P&G, Sanofi, Merck, NatureMade, and Bristol...",new-york-city
ZS,https://builtin.com/company/zs,Artificial Intelligence • Healthtech • Professional Services • Analytics • Consulting,36 Offices,"13,000 Employees","ZS is a management consulting and technology firm that partners with companies to improve life and how we live it. We transform ideas into impact by bringing together data, science, technology and human ingenuity to deliver better outcomes for all. Founded in 1983, ZS has more than 13,000 employees in over 35 offices worldwide.",new-york-city
Alchemy,https://builtin.com/company/alchemy,Blockchain • Cloud • Fintech • Information Technology • Software • Cryptocurrency • Web3,3 Offices,250 Employees,"Alchemy powers the top blockchain companies globally and has been featured in TechCrunch, Forbes, Bloomberg, and elsewhere. Our mission is to bring web3 to a billion people, by providing builders with the tools they need to build exceptional onchain products. Alchemy is the only complete developer platform that offers the powerful APIs, SDKs, and tools necessary to build and scale onchain...",new-york-city
Vannevar,https://builtin.com/company/vannevar-labs,Artificial Intelligence • Machine Learning • Software • Defense,6 Offices,225 Employees,"Vannevar combines Silicon Valley innovation with former special operators to build AI for real-world national security outcomes. Since our founding in 2019, Vannevar has deployed its technology across 125 missions, safeguarding our service members and improving our country's deterrence. We believe our military service members and intelligence officers deserve access to the best technology American innovation can offer, and we are...",new-york-city
Northslope,https://builtin.com/company/northslope-technologies,Artificial Intelligence • Information Technology • Software • Analytics • Consulting • Generative AI,4 Offices,100 Employees,"https://www.youtube.com/@northslope-technologies At Northslope, we believe that purpose-built AI products in the hands of business operators create far more value than slide decks or off-the-shelf software. That’s why we partner with ambitious organizations to transform entire industries through Palantir’s Foundry and AIP platforms-delivering powerful, measurable outcomes in weeks, not years. We operate more like a product startup than a traditional services firm. Our...",new-york-city
Coinbase,https://builtin.com/company/coinbase,Artificial Intelligence • Blockchain • Fintech • Financial Services • Cryptocurrency • NFT • Web3,8 Offices,"4,700 Employees","Crypto creates economic freedom by ensuring that people can participate fairly in the economy, and Coinbase (NASDAQ: COIN) is on a mission to increase economic freedom for more than 1 billion people. We’re updating the century-old financial system by providing a trusted platform that makes it easy for people and institutions to engage with crypto assets, including trading, staking, safekeeping,...",new-york-city
Pfizer,https://builtin.com/company/pfizer,Artificial Intelligence • Healthtech • Machine Learning • Natural Language Processing • Biotech • Pharmaceutical,19 Offices,"121,990 Employees","Our purpose ensures that patients remain at the center of all we do. We live our purpose by sourcing the best science in the world; partnering with others in the healthcare system to improve access to our medicines; using digital technologies to enhance our drug discovery and development, as well as patient outcomes; and leading the conversation to advocate for...",new-york-city
Atlassian,https://builtin.com/company/atlassian,Cloud • Information Technology • Productivity • Security • Software • App development • Automation,16 Offices,"11,000 Employees","Atlassian creates teamwork solutions for high-performing teams. Our portfolio of collaboration and work management software products includes Jira, Confluence, Trello, Loom and Rovo. More than 300,000 businesses worldwide rely on Atlassian’s technology, including 80 percent of Fortune 500 companies. Our solutions support various business teams and they help organizations plan, track, and deliver their biggest ideas together.",new-york-city
Blacksmith,https://builtin.com/company/blacksmith,Information Technology • Software,2 Offices,7 Employees,Blacksmith is the fastest way to run your GitHub Action workflows. We orchestrate your workflows over our fleet of bare-metal gaming CPUs with your build caches co-located right next to your CI jobs. All it takes is a one-line code change. Get started with Blacksmith https://docs.blacksmith.sh/getting-started/quickstart,new-york-city
Nourish,https://builtin.com/company/nourish,Healthtech • Software • Telehealth,"New York, New York, USA",215 Employees,"Nourish is on a mission to improve people’s health by making it easy to eat well. Nutrition-related chronic disease is the largest and most overlooked crisis in the world. Food can be medicine: working with a Registered Dietitian is one of the most effective interventions available, but <1% of eligible Americans use their covered benefits. Nourish is building an AI-native,...",new-york-city
RethinkFirst,https://builtin.com/company/rethinkfirst,Edtech • Healthtech • HR Tech • Information Technology • Professional Services • Software • Telehealth,"New York, New York, USA",300 Employees,"Rethink aims to provide families, educators and behavior healthcare providers affordable, best practice treatment solutions for children with special needs. Rethink is unique in our foot-print offering clinical support, best-practice tools, and research-based content via technology to all market segments, reaching more children with special needs than any other solution. Our platform supports curriculum planning, professional development, parent training, and tracking...",new-york-city
Hedra,https://builtin.com/company/hedra,Consumer Web • Digital Media • Enterprise Web • Marketing Tech • News + Entertainment • Software • Generative AI,2 Offices,14 Employees,"Hedra is an AI native platform for multimodal creation. The platform is built around their own cutting-edge proprietary video model, Character-3, which is the first multimodal model in production. Alongside Character-3, the platform also brings other leading foundation models into one ecosystem spanning generative images, video, and audio. Prosumer and enterprise users leverage Hedra to generate content ranging from viral...",new-york-city
M13,https://builtin.com/company/m13,Angel or VC Firm,2 Offices,40 Employees,"M13 is an early-stage (seed and Series A) venture capital firm that invests in visionary founders building disruptive software businesses. Established in 2016 with offices in Los Angeles and New York, the firm is a full-stack partner that brings its deep bench of full-time operators to help founders outperform and build category-defining companies. M13’s portfolio includes more than 200 direct...",new-york-city
Zeta Global,https://builtin.com/company/zeta-global,AdTech • Artificial Intelligence • Marketing Tech • Software • Analytics,13 Offices,"2,429 Employees","Zeta Global (NYSE: ZETA) is the AI Marketing Cloud that leverages advanced artificial intelligence (AI) and trillions of consumer signals to make it easier for marketers to acquire, grow, and retain customers more efficiently. Through the Zeta Marketing Platform (ZMP), our vision is to make sophisticated marketing simple by unifying identity, intelligence, and omnichannel activation into a single platform –...",new-york-city
UL Solutions,https://builtin.com/company/ul-solutions,Automotive • Professional Services • Software • Consulting • Energy • Chemical • Renewable Energy,28 Offices,"15,000 Employees","A global leader in applied safety science, UL Solutions transforms safety, security and sustainability challenges into opportunities for customers in more than 100 countries. UL Solutions delivers testing, inspection and certification services, together with software products and advisory offerings, that support our customers’ product innovation and business growth. The UL Certification Marks serve as a recognized symbol of trust in...",new-york-city
