name,builtin_url,sectors,location,employees,description,revenue_model,work_regime,primary_function,secondary_function,is_michigan_hq
Addition Wealth,https://builtin.com/company/addition-wealth,Fintech • HR Tech • Financial Services,"New York, New York, USA",50 Employees,"Addition Wealth is a holistic personal finance platform that empowers employees to make smart, informed financial decisions. By taking a tech-forward approach that combines digital tools, community events, expert content, and access to financial professionals, Addition is making personalized financial expertise inclusive and accessible for all employees. Addition partners with forward-thinking employers to help employees make the most of their...",Subscription,Startup/Venture,Tool,Media,no
GRAIL,https://builtin.com/company/grail,Artificial Intelligence • Big Data • Healthtech • Machine Learning • Software • Biotech,4 Offices,918 Employees,"GRAIL is a healthcare company whose mission is to detect cancer early, when it can be cured. GRAIL is using the power of high-intensity sequencing, population-scale clinical studies, and state-of-the-art computer science and data science to enhance the scientific understanding of cancer biology, and to develop and commercialize pioneering products.",Licensing,Startup/Venture,Bureaucracy,Tool,no
Ethic,https://builtin.com/company/ethic,Fintech • Social Impact • Financial Services,"New York, New York, USA",74 Employees,"Ethic partners with advisors and institutions to deliver personalized, values-aligned, and tax-smart investing. Our technology powers sophisticated investment solutions through a simple and engaging client experience. Headquartered in New York City, our growing team brings a diverse set of backgrounds and experiences. We’re a financial technology company building the investment management platform of the future.",Subscription,Startup/Venture,Tool,Bureaucracy,no
GumGum,https://builtin.com/company/gumgum,AdTech • Artificial Intelligence • Digital Media • Marketing Tech,6 Offices,500 Employees,"GumGum is the contextual-first technology leader transforming digital advertising with AI-powered, non-invasive data and media solutions. We champion effective advertising that uplifts and respects consumers. Our proprietary Contextual, Attention, and Creative solutions create the perfect match between a brand and a consumer in the right moment and mindset. Founded in 2008, GumGum is headquartered in Santa Monica, California, and operates...",Advertising,Startup/Venture,Media,Tool,no
Superblocks,https://builtin.com/company/superblocks,Artificial Intelligence • Cloud • Enterprise Web • Natural Language Processing • Software • App development • Automation,"New York, New York, USA",60 Employees,"Superblocks is reimagining software development for a billion builders. Our mission is to help every team build, deploy, and manage AI-powered software with full control and flexibility. From startups to Fortune 500s, companies are rethinking how they build powerful software with Superblocks.",Subscription,Startup/Venture,Tool,None,no
Enova,https://builtin.com/company/enova,Fintech • Information Technology • Machine Learning • Software • Analytics • Financial Services,3 Offices,"1,848 Employees","Enova International (NYSE: ENVA) is a leading online financial services company that serves small businesses and consumers who are underserved by traditional banks. For over 20 years, Enova has provided over $67 billion in loans and financing to more than 14 million customers by offering a suite of market-leading products powered by the company's world-class analytics, machine learning algorithms and...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Moov,https://builtin.com/company/moov-financial,Fintech • Payments,9 Offices,63 Employees,"Moov is a payments infrastructure platform making it easy to accept, store, send, and spend money all from a single, elegantly-designed API. Instead of stitching together multiple vendors, software companies simply add Moov to their products to get the latest in payment technology, user onboarding, licensing, compliance, and more.",Transaction fees,Startup/Venture,Tool,Bureaucracy,no
RigUp,https://builtin.com/company/rigup,Information Technology • Professional Services • Software • Energy,3 Offices,260 Employees,We offer a source to pay solution designed for the energy sector. It streamlines the entire process from finding suppliers to issuing payments. Our goal is to strengthen alignment between field workers and corporate offices.,Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Braze,https://builtin.com/company/braze,Marketing Tech • Mobile • Software,15 Offices,"2,000 Employees","At Braze, we believe in the passion of our people. We seek to ignite that passion by setting high standards, championing teamwork, and creating work-life harmony. We thrive when people add their unique perspectives to our ever-growing teams—and we strive to empower you to make an impact that fuels both you, and our business.",Subscription,Startup/Venture,Tool,None,no
Compa,https://builtin.com/company/compa,Artificial Intelligence • HR Tech • Other • Software • Business Intelligence,3 Offices,70 Employees,"Compa is a venture-backed SaaS startup revolutionizing the future of compensation. In a dynamic job market with hiring challenges, accountability, and the rise of AI, companies need the best data to stay ahead of industry changes, competition, and costs. Compa has developed the premier real-time compensation data platform, delivering top-tier compensation intelligence to leading enterprise teams. Compa is a compensation intelligence company...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Bounteous,https://builtin.com/company/bounteous,Agency • Digital Media • eCommerce • Professional Services • Software • Analytics • Consulting,9 Offices,"5,000 Employees","Bounteous is an end-to-end digital transformation services consultancy that partners with leading brands around the globe to co-innovate and drive exceptional client outcomes. We build digital solutions for today’s challenges and tomorrow’s opportunities through transformative products and experiences. Driven by co-innovation, high technical and domain expertise, and a commitment to global talent, we foster a culture of belonging, support, and...",Services,Outsourcing,Tool,Bureaucracy,no
Healthee,https://builtin.com/company/healthee,Artificial Intelligence • Healthtech • HR Tech • Insurance • Software • Telehealth • Generative AI,3 Offices,125 Employees,"We’re tackling one of the most impactful ways to improve health in the US: fixing employee health benefits. Health insurance keeps 157 million US employees healthy, yet it’s too complex, confusing, and costly. We envision a world where access to health benefits is no longer a barrier to health, it's an enabler — the way it’s meant to be.",Subscription,Startup/Venture,Bureaucracy,Tool,no
Arch Systems Inc.,https://builtin.com/company/arch-systems-inc,Artificial Intelligence • Internet of Things • Machine Learning • Software • Analytics • Industrial • Manufacturing,15 Offices,85 Employees,"At Arch Systems, we empower discrete manufacturing facilities with deep data insights that enable optimal efficiency, precise KPIs, and proactive decision-making. We work with leading manufacturers to integrate and optimize their data for actionable intelligence, fueling productivity and operational excellence.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Particle Health,https://builtin.com/company/particle-health,Big Data • Healthtech • Information Technology • Software • Analytics • Infrastructure as a Service (IaaS) • Big Data Analytics,"New York, New York, USA",40 Employees,"Particle’s Platform is focused on helping healthcare innovators find and use medical information to better their patient lives. Our energy is spent connecting to people’s diverse set of medical data, making that data useful in different settings, and designing an incredibly easy way to share that information with any organization a person chooses. Our platform powers smarter workflows, better care,...",Usage-based,Startup/Venture,Tool,Bureaucracy,no
Crunchyroll,https://builtin.com/company/crunchyroll,Digital Media • eCommerce • Gaming • Mobile • News + Entertainment,14 Offices,"1,300 Employees","At Crunchyroll, we deliver what anime fans love—anytime, anywhere. With the world’s largest anime streaming library, we connect fans to the stories, characters, and creators they love. But Crunchyroll is more than just a destination to watch anime—it's a global ecosystem where anime lives and breathes beyond the screen. From streaming and theatrical releases to merch, games, news, events, and music, we...",Subscription,Corporate Agile,Media,Tool,no
Radar,https://builtin.com/company/radar,Mobile • Software,"New York, New York, USA",64 Employees,"Radar is the world's first Location OS: next-gen geofencing and maps infrastructure for developers and AI-enabled solutions for marketing, fraud, and operations teams, all in a single platform. Hundreds of enterprises, including DICK'S Sporting Goods, T-Mobile, Inspire Brands, and bet365, use Radar to engage their customers, protect their business, and optimize their operations across hundreds of millions of devices worldwide. Founded...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Alliant Credit Union,https://builtin.com/company/alliant-credit-union,Fintech • Financial Services,"Chicago, Illinois, USA",906 Employees,"Alliant is unlike any other financial institution — a digital credit union that wows our members. We’re boldly disrupting banking norms to do good for our members, employees and communities. With 90 years of history and more than $19 billion in assets, Alliant Credit Union is the largest credit union in Illinois and one of the largest in the U.S. Our industry-leading...",Mixed,Corporate Agile,Bureaucracy,Tool,no
Citadel,https://builtin.com/company/citadel,Information Technology • Software • Financial Services • Big Data Analytics,24 Offices,"4,000 Employees","Together, we've turn ambition into action. For more than three decades, Citadel has captured undiscovered market opportunities in markets around the world by empowering extraordinary people to pursue their best and boldest ideas. We strive to identify the highest and best uses of capital to generate superior long-term returns for the world’s preeminent public and private institutions.",Transaction fees,Startup/Venture,Tool,Bureaucracy,no
